AthleteName,AthleteFirstName,AthleteLastName,Date,RaceEventDistance,RaceEventSwimmingStyleName,PhaseName,RaceEventIsRelay,RaceEventIsMixed,RaceEventName,PoolLength,RaceId,PhaseNumber,Lane,RelayLeg,FinishingPosition,RaceEventId,RaceEventSwimmingStyleId,AthleteId,AthleteGenderId,AthleteGenderName,AthleteNationId,AthleteNationCode,AthleteNationName,CompetitionId,CompetitionName,PhaseId,SessionId,SessionCode,AnalysisLevelId,AnalysisLevelName,RaceTime,Split_0_50_m,Split_50_100_m,StartBlockElapsedTime,StartBreakoutDistance,StartBreakoutTime,Lap1_15mElapsedTime,StartKicks,Turn_5mIn_s,Turn1RotateTime,Turn1_15m_s,Turn1BreakoutDistance,Turn1BreakoutTime,Turn1_Total_s,Last5m_s,SR_15_25m_T,SR_15_25m_SR,SR_15_25m_DPS,SR_15_25m_V,SR_15_25m_N,SR_25_50m_T,SR_25_50m_SR,SR_25_50m_DPS,SR_25_50m_V,SR_25_50m_N,SR_65_75m_T,SR_65_75m_SR,SR_65_75m_DPS,SR_65_75m_V,SR_65_75m_N,SR_75_100m_T,SR_75_100m_SR,SR_75_100m_DPS,SR_75_100m_V,SR_75_100m_N
Fearn,Fearn,,31/05/2026,50,Butterfly,B-Final,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,24.06,5.9,5.06,0.7,13.72,5.3,5.9,,,,,,,,2.72,,,,,,5.06,,,1.98,,,,,,,,,,,
Dean,Dean,,31/05/2026,200,IM,Final,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,123.25,26.32,32.45,0.7,13.08,5.08,6.14,,3.02,0.82,8.7,11.8,6.46,11.72,2.79,5.68,50.6,2.09,1.76,,14.5,48.6,2.15,1.74,18.0,6.68,38.8,2.32,1.5,,17.07,35.1,2.48,1.45,31.0
Smith,Smith,,31/05/2026,400,Freestyle,Heat,False,False,400 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,237.82999999999998,27.02,29.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,Scott,,31/05/2026,100,Freestyle,Final,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,49.11,23.79,25.32,0.7,12.84,4.74,5.82,,2.73,1.25,6.89,10.2,4.63,9.62,2.49,5.22,51.6,2.23,1.92,,12.75,52.5,2.29,2.0,31.0,5.14,50.9,2.3,1.95,,13.29,50.8,2.19,1.85,35.0
Smith,Smith,,31/05/2026,400,Freestyle,B-Final,False,False,400 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,236.76,26.92,28.49,0.7,12.68,5.06,6.34,,3.22,1.7,7.68,6.28,2.62,10.9,3.1,20.58,40.7,2.55,1.73,28.0,,,,,,20.81,39.5,2.6,1.71,33.0,,,,,
Smith,Smith,,31/05/2026,100,Breaststroke,Heat,False,False,100 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,63.19,30.2,32.99,0.7,15.24,7.06,6.84,,3.22,0.52,9.26,10.28,6.52,12.48,3.17,6.84,42.5,2.06,1.46,,16.52,41.8,2.15,1.5,16.0,6.76,45.4,1.96,1.48,,16.97,47.2,1.84,1.45,20.5
McGill,McGill,,31/05/2026,100,Backstroke,Heat,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,63.34,30.86,32.48,0.6,12.52,6.54,8.24,,3.48,1.38,8.66,8.84,4.54,12.14,3.34,6.4,46.7,2.0,1.56,,16.22,46.5,2.03,1.57,36.0,6.62,46.1,1.97,1.51,,17.2,45.6,1.89,1.44,42.0
McNair,McNair,,30/05/2026,200,IM,B-Final,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,137.69,29.18,34.23,0.7,12.76,5.76,7.12,,3.34,0.66,9.72,9.0,5.32,13.06,3.21,6.1,53.9,1.83,1.64,,15.96,51.9,1.83,1.58,20.0,6.88,39.4,2.21,1.45,,17.63,37.3,2.3,1.43,36.0
Scott,Scott,,30/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,108.31,25.11,27.09,0.7,13.0,4.94,5.94,,3.11,1.45,7.33,9.4,4.03,10.44,2.67,5.38,45.6,2.45,1.86,,13.79,44.1,2.54,1.87,28.0,5.4,43.4,2.56,1.85,,14.36,41.3,2.56,1.76,31.0
Hope,Hope,,30/05/2026,100,Freestyle,Heat,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,56.84,27.45,29.39,0.7,11.4,4.94,6.94,,3.47,1.51,8.01,6.92,3.27,11.48,3.02,5.7,52.5,2.0,1.75,,14.81,49.9,2.12,1.76,36.0,5.96,48.7,2.07,1.68,,15.42,47.0,2.06,1.61,41.0
Dean,Dean,,30/05/2026,200,Freestyle,B-Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,110.34,25.64,27.98,0.7,13.0,5.08,6.04,,2.96,1.46,7.44,8.28,3.52,10.4,2.48,5.5,40.4,2.7,1.82,,14.1,39.1,2.76,1.8,26.0,5.76,38.0,2.75,1.74,,14.78,36.6,2.84,1.73,29.0
McNair,McNair,,30/05/2026,200,IM,Heat,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,139.0,29.18,34.16,0.7,13.0,5.9,7.14,,3.18,0.7,9.6,8.6,5.18,12.78,3.42,6.12,54.1,1.81,1.63,,15.92,51.6,1.83,1.57,20.0,6.94,39.6,2.18,1.44,,17.62,37.7,2.26,1.42,37.0
McNair,McNair,,30/05/2026,50,Butterfly,Heat,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith,Smith,,30/05/2026,200,Breaststroke,Heat,False,False,200 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,137.67000000000002,30.92,34.76,0.7,15.24,7.28,7.06,,3.22,0.7,9.56,11.4,7.0,12.78,3.53,6.82,35.0,2.52,1.47,,17.04,33.6,2.59,1.45,14.0,7.14,34.9,2.41,1.4,,18.06,34.2,2.46,1.4,16.0
Annis,Annis,,30/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,112.47999999999999,26.88,28.39,0.7,14.04,5.8,6.5,,3.18,1.94,7.74,6.2,2.66,10.92,3.02,5.74,41.6,2.51,1.74,,14.64,39.3,2.67,1.75,26.0,5.8,40.2,2.57,1.72,,14.85,39.6,2.64,1.74,32.0
Fearn,Fearn,,30/05/2026,100,Butterfly,Heat,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,54.13,25.28,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearn,Fearn,,30/05/2026,100,Butterfly,B-Final,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,54.06,25.01,29.05,0.7,14.29,5.76,6.0,,2.85,0.89,8.75,11.19,6.55,11.6,2.88,5.34,57.5,1.95,1.87,,13.67,54.5,2.04,1.85,18.0,5.58,53.9,1.99,1.79,,14.72,54.6,1.86,1.69,20.0
McGill,McGill,,30/05/2026,200,Backstroke,Heat,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,132.67,31.49,32.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grieve,Grieve,,30/05/2026,50,Butterfly,Heat,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annis,Annis,,30/05/2026,100,Backstroke,Heat,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,56.43,27.64,28.79,0.6,13.08,5.6,6.72,,3.38,1.32,7.4,12.52,5.8,10.78,3.09,5.62,48.1,2.22,1.78,,15.3,44.9,2.24,1.68,32.0,6.04,44.6,2.23,1.66,,15.35,46.2,2.12,1.63,34.0
Grieve,Grieve,,30/05/2026,50,Butterfly,B-Final,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,27.28,6.54,5.84,0.7,13.24,5.68,6.54,,,,,,,,2.86,,,,,,5.84,62.8,1.63,1.71,,,,,,,,,,,
Scott,Scott,,30/05/2026,200,Freestyle,Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,108.6,25.62,27.24,0.7,13.64,5.2,5.9,,3.12,1.2,7.36,8.12,3.72,10.48,2.62,5.5,43.7,2.5,1.82,,14.22,41.9,2.58,1.8,28.0,5.48,43.2,2.53,1.82,,14.4,43.0,2.48,1.78,32.0
Dean,Dean,,30/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,110.65,25.51,27.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
